"process","resource","type","trl","trl.reference","trl.notes","scale","scale.ref","scale.notes","capacity.max","capacity.min","capacity.other.i","capacity.other.ii","capacity.other.iii","capacity.other.iv","capacity.other.v"
"biogas-vegWaste.yaml","methane","prod","c","http://www.sgc.se/ckfinder/userfiles/files/SGC270.pdf","Identifies existing plants","TODO","http://www.iea-biogas.net/files/daten-redaktion/download/publi-task37/upgrading_rz_low_final.pdf, http://www.engineeringtoolbox.com/gas-density-d_158.html","Capcity for gas range from 20 m3/hour to 13000 m3/hour, ADD SMALLER LOCAL UNITS TOO, e.g. http://www.biofermenergy.com/references/allen-farms-small-scale-digester/",0.24,0.254,,,,,
"biomass_biogas-biodiesel.yaml","biodiesel","prod","r","http://www.biofuelstp.eu/btl.html","Proposed projects, some existing projects, and some pilot plants","u","http://www.biofuelstp.eu/btl.html","Example project produces 50000 t biodiesel p.a.",0.158,"NA","***",,,,
"biomass_ethanol.yaml","ethanol","prod","r","https://en.wikipedia.org/wiki/Cellulosic_ethanol_commercialization","First commercial-scale plants in 2013","u","https://en.wikipedia.org/wiki/Cellulosic_ethanol_commercialization","Plants between 5m-70m litres p.a. (see Table)",2.22,0.159,,,,,
"biomass-gasification.yaml","elec","prod","r","http://www.eubia.org/index.php/about-biomass/pyrolysis-and-gasification/gasification","Commercial penetration still low due to costs (2012)","TODO","https://www.ashden.org/biomass-gasification","Lots of small-scale (130 MW) off-grid systems in Asia, small-scale generators http://www.sciencedirect.com/science/article/pii/S1876610214000289",130,0.14,1,,,,
"biomass-hydrogen-dark-fermentation.yaml","hydrogen","prod","ml","http://www.sciencedirect.com/science/article/pii/S0360319907004065, http://www.sciencedirect.com/science/article/pii/S0360319914014827","Not yet at commercial-scale (only lab)","TODO","https://books.google.com/books?id=p53AAgAAQBAJ&pg=PA355&lpg=PA355&dq=biohydrogen+production+plant+capacity&source=bl&ots=tT2iWdMkvx&sig=Z8dyxvstdEDckfl3dveczmwGOkk&hl=en&sa=X&ved=0CFAQ6AEwBmoVChMItcbHoOSjxwIVaSPbCh1FmgQo#v=onepage&q=biohydrogen%20production%20plant%20capacity&f=false","Assume a plant of 3600 GJ/day, after commercialisation (=280000 m3/day)",0.2913,"NA","***",,,,
"biomass-hydrogen-electrochem.yaml","hydrogen","prod","ml","http://www.sciencedirect.com/science/article/pii/S0360319907004065, http://www.sciencedirect.com/science/article/pii/S0000000000000001","Not yet at commercial-scale (only lab)","TODO","https://books.google.com/books?id=p53AAgAAQBAJ&pg=PA355&lpg=PA355&dq=biohydrogen+production+plant+capacity&source=bl&ots=tT2iWdMkvx&sig=Z8dyxvstdEDckfl3dveczmwGOkk&hl=en&sa=X&ved=0CFAQ6AEwBmoVChMItcbHoOSjxwIVaSPbCh1FmgQo#v=onepage&q=biohydrogen%20production%20plant%20capacity&f=false","Assume a plant of 3600 GJ/day, after commercialisation (=280000 m3/day)",0.2913,"NA","***",,,,
"biomass-hydrogen-photo-fermentation.yaml","hydrogen","prod","ml","http://www.sciencedirect.com/science/article/pii/S0360319907004065, http://www.sciencedirect.com/science/article/pii/S0000000000000002","Not yet at commercial-scale (only lab)","TODO","https://books.google.com/books?id=p53AAgAAQBAJ&pg=PA355&lpg=PA355&dq=biohydrogen+production+plant+capacity&source=bl&ots=tT2iWdMkvx&sig=Z8dyxvstdEDckfl3dveczmwGOkk&hl=en&sa=X&ved=0CFAQ6AEwBmoVChMItcbHoOSjxwIVaSPbCh1FmgQo#v=onepage&q=biohydrogen%20production%20plant%20capacity&f=false","Assume a plant of 3600 GJ/day, after commercialisation  (=280000 m3/day)",0.2913,"NA","***",,,,
"biomass-hydrogen-two-stage.yaml","hydrogen","prod","ml","http://www.sciencedirect.com/science/article/pii/S0360319907004065, http://www.sciencedirect.com/science/article/pii/S0000000000000003","Not yet at commercial-scale (only lab)","TODO","https://books.google.com/books?id=p53AAgAAQBAJ&pg=PA355&lpg=PA355&dq=biohydrogen+production+plant+capacity&source=bl&ots=tT2iWdMkvx&sig=Z8dyxvstdEDckfl3dveczmwGOkk&hl=en&sa=X&ved=0CFAQ6AEwBmoVChMItcbHoOSjxwIVaSPbCh1FmgQo#v=onepage&q=biohydrogen%20production%20plant%20capacity&f=false","Assume a plant of 3600 GJ/day, after commercialisation (=280000 m3/day)",0.2913,"NA","***",,,,
"biomass-pyrolysis.yaml","biooil","prod","c","http://www.soci.org/~/media/Files/Conference%20Downloads/2012/Processing%20Lignocellulosic%20Biomass%20Nov%202012/R036_C_Peacocke_CPI_8th_Nov_2012_PUBLISH.ashx","Several UK plants","TODO","http://www.soci.org/~/media/Files/Conference%20Downloads/2012/Processing%20Lignocellulosic%20Biomass%20Nov%202012/R036_C_Peacocke_CPI_8th_Nov_2012_PUBLISH.ashx","E.g. 1 MW, 4 MW",4,1,,,,,
"biomass-to-DME-gasification.yaml","DME","prod","m","http://www.biofuelstp.eu/factsheets/dme-fact-sheet.html","One demo plant (Sweden)","TODO","http://www.sciencedirect.com/science/article/pii/S0961953411002960","13.085 t/hour",3.63,"NA","***",,,,
"biomass-to-hydrogen-gasification.yaml","hydrogen","prod","ml","http://www.vtt.fi/inf/pdf/workingpapers/2009/W131.pdf","Several demo plants to produce transport fuels, which could be adapted.","TODO","http://www.vtt.fi/inf/pdf/workingpapers/2009/W131.pdf","Plants range from few MW (<10), or 50000 t per year of methanol equivalent production",1.58,"NA","***",,,,
"biomass-to-methanol-gasification.yaml","methanol","prod","r","http://www.biofuelstp.eu/methanol.html","slowly emerging","TODO","http://www.sciencedirect.com/science/article/pii/S0961953411002960","18.237 t/hour",5.06,"NA","***",,,,
"CHP-biomass.yaml","elec","prod","c",,,"TODO","http://www.turboden.eu/en/public/downloads/report_on_lienz_plant.pdf","1000 kW, Assume minimum value of other CHP devices",1,0.005,,,,,
"CHP-decentralised-fuelCell_biomass.yaml","elec","prod","m","http://www.sciencedirect.com/science/article/pii/S0360544213005458","Data from demo plant and simulation","TODO","http://www.sciencedirect.com/science/article/pii/S0360544213005458","Simulation of 3MWth plant",3,0.005,,,,,
"CHP-fuelCell_hydrogen.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","5 kw to 2 MW",2,0.005,,,,,
"CHP-gas_fuelOil.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5-300  Mwe",300,0.5,,,,,
"CHP-gas_landfillGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5-300  Mwe",300,0.5,,,,,
"CHP-gas_natGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5-300  Mwe",300,0.5,,,,,
"CHP-microturbine_liquidFuel.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.03-1 MWe ",1,0.03,,,,,
"CHP-microturbine_natGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.03-1 MWe ",1,0.03,,,,,
"CHP-recip_LPG.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.005-10 Mwe",10,0.005,,,,,
"CHP-recip_natGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.005-10 Mwe",10,0.005,,,,,
"CHP-recip_wasteGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.005-10 Mwe",10,0.005,,,,,
"CHP-steam-large_biogas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_fuelOil.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_hydrogen.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_landfillGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_liquidFuel.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_LPG.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_methanol.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_natGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_propane.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_syngas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-large_wasteGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","Assume 500 Mwe",500,"NA","By definition, these don't need minimum values",,,,
"CHP-steam-small_biogas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_fuelOil.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_hydrogen.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_lanfillGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_liquidFuel.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_LPG.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_methanol.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_natGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_propane.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_synGas.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"CHP-steam-small_wasteGAs.yaml","elec","prod","c","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf",,"TODO","http://www.epa.gov/chp/documents/catalog_chptech_full.pdf","0.5 Mwe",0.5,"NA","By definition, these don't need maximum values",,,,
"coalLooping_hydrogen-power.yaml","elec","prod","m","http://oee.osu.edu/successful-200-hour-continuous-operation-of-coal-direct-chemical-looping-combustion-technology.html","Still at Pilot stage","TODO","http://www.sciencedirect.com/science/article/pii/S0360319913028863","300-450 MW",450,300,,,,,
"coal-solar_hybrid.yaml","elec","prod","ml","http://www.gizmag.com/first-solarcoal-hybrid-power-station/15728/","First demonstration project in Colorado (2010)","TODO","http://ac.els-cdn.com/S0038092X10003579/1-s2.0-S0038092X10003579-main.pdf?_tid=1a0b674a-e43b-11e4-81ca-00000aab0f26&acdnat=1429190501_060240121a4d342af3824f25a3c98ac3","116913.7 kW",116.9137,"NA","***",,,,
"cofiring-biomass-coal.yaml","elec","prod","c","http://www.rwe.com/web/cms/en/1754834/rwe-generation-se/about-us/energy-mix/biomass/",,"TODO","http://www.rwe.com/web/cms/en/1754834/rwe-generation-se/about-us/energy-mix/biomass/","Examples include 1245 MW, 1600 MW, 1131 MW",1600,1131,,,,,
"cofiring-coal-biomass_boiler.yaml","elec","prod","c","http://ac.els-cdn.com/S0961953408001797/1-s2.0-S0961953408001797-main.pdf?_tid=25c3ac72-311c-11e5-8dd1-00000aab0f26&acdnat=1437643446_daf999bfd08b78ac4c259d5201502c92","Just discusses the economic feasibility of the technology","TODO","http://www.sciencedirect.com/science/article/pii/S0961953408001797, Fig 2","Assumes a range of about 10-350 MW",350,10,,,,,
"combustion-biomass.yaml","elec","prod","c","https://setis.ec.europa.eu/system/files/4.Efficiencyofheatandelectricityproductiontechnologies.pdf","Summarised in Table 1-2","u","https://setis.ec.europa.eu/system/files/4.Efficiencyofheatandelectricityproductiontechnologies.pdf","Capacity ranges from 8.7-350 Mwe",350,8.7,,,,,
"combustion-coal-bituminous.yaml","elec","prod","c","https://setis.ec.europa.eu/system/files/4.Efficiencyofheatandelectricityproductiontechnologies.pdf",,"TODO","https://setis.ec.europa.eu/system/files/4.Efficiencyofheatandelectricityproductiontechnologies.pdf","Capacity ranges from 8.7-350 Mwe",350,8.7,,,,,
"combustion-coal-combined-cycle.yaml","elec","prod","c","http://en.wikipedia.org/wiki/Combined_cycle",,"TODO","http://en.wikipedia.org/wiki/Combined_cycle","Capacity ranges from 1-6 sets of 400 MW turbine combinations (e.g. 130 MW steam + 270 MW gas)",2400,400,,,,,
"combustion-coal.yaml","elec","prod","c","http://en.wikipedia.org/wiki/Combined_cycle",,"TODO","http://en.wikipedia.org/wiki/Combined_cycle","Capacity ranges from 1-6 sets of 400 MW turbine combinations (e.g. 130 MW steam + 270 MW gas)",2400,400,,,,,
"combustion-sludgeDigested.yaml","elec","prod","c","http://www.casaweb.org/biosolids/regulations/sewage-sludge-incineration",,"TODO","file:///home/tr608/Downloads/OTE_OiA_Sludge_incineration_plant_ERZ_Zurich_Zuric.pdf, http://www.seas.columbia.edu/earth/wtert/sofos/Ellyin_Thesis.pdf","Plant in Zurich, 10000 m3 annually of sludge digested, Assume sludge density of 1400 kg/m3, 137 tons/y at plant in Horsholm.",0.9474,0.00935,,,,,
"combustion-sludgeRaw.yaml","elec","prod","c",,"Assume as above","TODO","file:///home/tr608/Downloads/OTE_OiA_Sludge_incineration_plant_ERZ_Zurich_Zuric.pdf","Plant in Zurich, 10000 m3 annually of sludge digested, Assume sludge density of 1400 kg/m3",0.9474,0.00935,,,,,
"constructed-wetland.yaml","wastewater","waste","c","http://www.extension.umn.edu/environment/water/onsite-sewage-treatment/innovative-sewage-treatment-systems-series/constructed-wetlands/",,"TODO","http://water.epa.gov/infrastructure/septic/upload/wetlands-subsurface_flow.pdf","U.S. systems: largest less than 3.8e3 m3/day; smaller systems from few hundered gallons per day to 40000 gallons per day",43.9,1.75,,,,,
"conventionalAirConditioning.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0306261900000660","3.517 kW",0.003517,"NA",,,,,
"cookingStove-Uganda-traditional.yaml","heatCooking","prod","c",,,"TODO",,,"CHECK-REFERENCE","NA",,,,,
"cooling-evaporative-cooling.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360132301001044, Table 3","3.9 kJ/h",0.00000108,"NA",,,,,
"cooling-evaporative-heating.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360132301001044, Table 2","3.82 kW",0.00382,"NA",,,,,
"cooling-thermallyActivated_adsorption-activatedCarbon.yaml","cooling","prod","c","http://www.sciencedirect.com/science/article/pii/S0360128510000493",,"TODO","http://www.sciencedirect.com/science/article/pii/S0360128510000493","<12 kW (Table 7)",0.012,"NA",,,,,
"cooling-thermallyActivated_adsorption-silica.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360128510000493","5-1000 kW",1,0.005,,,,,
"cooling-thermallyActivated_H2O-NH3_double.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360128510000493","<110 kW",0.11,"NA","Minimum not required",,,,
"cooling-thermallyActivated_H2O-NH3_single-small.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360128510000493","10-90 kW",0.09,0.01,,,,,
"cooling-thermallyActivated_H2O-NH3_single.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360128510000493","10 Ð 6500 kW",6.5,0.01,,,,,
"cooling-thermallyActivated_LiBr-H20-double.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360128510000493","20 Ð 11630 kW",11.63,0.02,,,,,
"cooling-thermallyActivated_LiBr-H20-single.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360128510000493","5 Ð 7000 kW",7,0.005,,,,,
"cooling-thermallyActivated_liquidDessicant.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360128510000493","50 Ð 500 kW",0.5,0.05,,,,,
"cooling-thermallyActivated_solidDessicant.yaml","cooling","prod","c",,,"TODO","http://www.sciencedirect.com/science/article/pii/S0360128510000493","5 Ð 50 kW",0.05,0.005,,,,,
"desalination-Cu-Cl-combo.yaml","water","prod","ml",,"No evidence of existing plants. Just research papers explaining the principle, e.g. http://www.sciencedirect.com/science/article/pii/S036031990901876X","TODO","https://en.wikipedia.org/wiki/Desalination","Plant sizes vary between 200 m3/day to 800000 m3/day",9259.259,2.3148,,,,,
"desalination-forwardOsmosis.yaml","water","prod","r","http://www.modernwater.com/assets/pdfs/PERTH%20Sept11%20-%20FO%20Desal%20A%20Commercial%20Reality.pdf","Emerging as a commercial reality","TODO","https://en.wikipedia.org/wiki/Desalination","Plant sizes vary between 200 m3/day to 800000 m3/day",9259.259,2.3148,,,,,
"desalination-mechanicalVapourCompression.yaml","water","prod","c",,,"TODO","https://en.wikipedia.org/wiki/Desalination","Plant sizes vary between 200 m3/day to 800000 m3/day",9259.259,2.3148,,,,,
"desalination-multiEffectDistillation.yaml","water","prod","c",,,"TODO","https://en.wikipedia.org/wiki/Desalination","Plant sizes vary between 200 m3/day to 800000 m3/day",9259.259,2.3148,,,,,
"desalination-multiStageFlash.yaml","water","prod","c",,,"TODO","https://en.wikipedia.org/wiki/Desalination","Plant sizes vary between 200 m3/day to 800000 m3/day",9259.259,2.3148,,,,,
"desalination-photovoltaicModules.yaml","water","prod","rc","http://www.sciencedirect.com/science/article/pii/S1364032110001553, http://reneweconomy.com.au/2015/saudis-build-worlds-first-large-scale-solar-powered-desalination-plant-82903","Small rural installations. First large-scale to be commissions in 2017 (Saudi Arabia)","TODO","http://www.sciencedirect.com/science/article/pii/S1364032110001553","1-5 m3/d, First large-scale will produce 60000 m3 per day",694.4,"NA","***",,,,
"desalination-reverseOsmosis-PV.yaml","water","prod","ml","http://www.sciencedirect.com/science/article/pii/S0960148111002540","Pilot plant","TODO",,"Between 9.3 L/h to 53 L/h",0.01472,0.002583,,,,,
"desalination-reverseOsmosis.yaml","water","prod","c",,,"TODO","https://en.wikipedia.org/wiki/Desalination","Plant sizes vary between 200 m3/day to 800000 m3/day",9259.259,2.3148,,,,,
"desalination-solarPond.yaml","water","prod","c","http://www.sciencedirect.com/science/article/pii/S1364032110001553",,"TODO",,"Facilities range from 2.3 m3/day to 3000 m3/day",34.72,0.0266,,,,,
"desalination-wind.yaml","water","prod","r","http://www.sciencedirect.com/science/article/pii/S1364032110001553","Two existing plants","TODO",,"0.3-2 m3/h, and 2-15 m3/h",4.167,0.083,,,,,
"digestion_farmResidues_biodiesel.yaml","biodiesel","prod","c","http://www.sciencedirect.com/science/article/pii/S0960852411008327",,"TODO",,"Process about 10000-20000 t wastewater per year",0.634,0.317,,,,,
"distributed-engine-cogen.yaml","elec","prod","c","http://ac.els-cdn.com/S0301421504001715/1-s2.0-S0301421504001715-main.pdf?_tid=a7d4b58e-e99c-11e4-a857-00000aab0f01&acdnat=1429782156_3e08c80ab98112113d7145ecb8c45538","India","TODO",,"Assume 1 Ð 3 MW capacity",3,1,,,,,
"distributed-engine.yaml","elec","prod","c","http://ac.els-cdn.com/S0301421504001715/1-s2.0-S0301421504001715-main.pdf?_tid=a7d4b58e-e99c-11e4-a857-00000aab0f01&acdnat=1429782156_3e08c80ab98112113d7145ecb8c45539","India","TODO",,"Assume 1 Ð 3 MW capacity",3,1,,,,,
"distributed-fuelCells-cogen.yaml","elec","prod","cm","http://ac.els-cdn.com/S1364032109002561/1-s2.0-S1364032109002561-main.pdf?_tid=b2eba922-e99d-11e4-9261-00000aab0f26&acdnat=1429782604_d1f12ba07b3a6f97548260fa2b72c9c3","Different types and different stages of commercial availability","TODO",,"50 kW Ð to 3 MW of Òelectric and heat generationÓ",3,0.05,,,,,
"distributed-fuelCells-elec.yaml","elec","prod","cm","http://ac.els-cdn.com/S1364032109002561/1-s2.0-S1364032109002561-main.pdf?_tid=b2eba922-e99d-11e4-9261-00000aab0f26&acdnat=1429782604_d1f12ba07b3a6f97548260fa2b72c9c4","Different types and different stages of commercial availability","TODO",,"50 kW Ð to 3 MW of Òelectric and heat generationÓ",3,0.05,,,,,
"distributed-gas-turbine-micro-cogen.yaml","elec","prod","c","http://ac.els-cdn.com/S1364032109002561/1-s2.0-S1364032109002561-main.pdf?_tid=b2eba922-e99d-11e4-9261-00000aab0f26&acdnat=1429782604_d1f12ba07b3a6f97548260fa2b72c9c4",,"TODO",,"30-400 kW",0.4,0.03,,,,,
"distributed-gas-turbine-micro.yaml","elec","prod","c","http://ac.els-cdn.com/S1364032109002561/1-s2.0-S1364032109002561-main.pdf?_tid=b2eba922-e99d-11e4-9261-00000aab0f26&acdnat=1429782604_d1f12ba07b3a6f97548260fa2b72c9c5",,"TODO",,"30-400 kW",0.4,0.03,,,,,
"distributed-solar.yaml","elec","prod","c","http://ac.els-cdn.com/S1364032109002561/1-s2.0-S1364032109002561-main.pdf?_tid=b2eba922-e99d-11e4-9261-00000aab0f26&acdnat=1429782604_d1f12ba07b3a6f97548260fa2b72c9c6",,"TODO",,"Assume 1 Ð 3 MW capacity",3,1,,,,,
"distributed-wind.yaml","elec","prod","c","http://ac.els-cdn.com/S1364032109002561/1-s2.0-S1364032109002561-main.pdf?_tid=b2eba922-e99d-11e4-9261-00000aab0f26&acdnat=1429782604_d1f12ba07b3a6f97548260fa2b72c9c7",,"TODO",,"1 kW Ð 6 kW for home use, 5 MW for conventional units",0.006,0.001,,,,,
"district-cogen-absorptionChiller.yaml","cooling","prod","c","http://www.sciencedirect.com/science/article/pii/S1359431104001243",,"TODO","http://www.sciencedirect.com/science/article/pii/S1359431104001243","100 MW (thermal load, for cooling)",100,"NA",,,,,
"district-cogen-heating.yaml","heat","prod","c","http://www.sciencedirect.com/science/article/pii/S1359431104001243",,"TODO","http://www.sciencedirect.com/science/article/pii/S1359431104001243","230 MW (thermal load, for heating)",230,"NA",,,,,
"fossilHydrogen_intrinsicCO2capture-gasReforming.yaml","hydrogen","prod","c","http://energy.gov/eere/fuelcells/hydrogen-production-natural-gas-reforming","This is the method for 95% of the US's hydrogen production, making it an 'important technology pathwat for near-term hydrogen production.'","TODO","http://www1.eere.energy.gov/hydrogenandfuelcells/pdfs/27637.pdf","1.5 million m3/day",1.56,"NA",,,,,
"fuelCell_ethanol.yaml","elec","prod","ml","http://www.sciencedirect.com/science/article/pii/S030626191500094X","Very early stage of development. A few prototypes.","TODO","http://www.sciencedirect.com/science/article/pii/S030626191500094X","3-250 W (portable), Amercian ammunition plant testing 10 kW prototype, stationary 15 kW, Winde distillery of 5 kW",0.015,0.000003,,,,,
"fuelCell_leachate.yaml","elec","prod","ml","http://download.springer.com/static/pdf/788/art%253A10.1007%252Fs12010-014-0854-x.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs12010-014-0854-x&token2=exp=1438078456~acl=%2Fstatic%2Fpdf%2F788%2Fart%25253A10.1007%25252Fs12010-014-0854-x.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs12010-014-0854-x*~hmac=c831ca71d3351e434743b5d5cb15ff6605d8d1e564b0cb076bd7ceaf4194f44e","Still in R&D stage, with questions about scaling-up.","TODO","Assume as for fuelCell_ethanol, http://www.sciencedirect.com/science/article/pii/S030626191500094X","3-250 W (portable), Amercian ammunition plant testing 10 kW prototype, stationary 15 kW, Winde distillery of 5 kW",0.015,0.000003,,,,,
"fuelCell_sludge_energy.yaml","elec","prod","ml","http://www.mmsd.com/-/media/MMSD/Documents/Water%20Quality/Reports/Using_Microbial_Fuel_Cells_513.pdf","Technology needs testing Òat a transitional scale of 200-500 L, which will act as a bridge between fundamental research and future developmentÓ.","TODO","Assume as for fuelCell_ethanol, http://www.sciencedirect.com/science/article/pii/S030626191500094X","3-250 W (portable), Amercian ammunition plant testing 10 kW prototype, stationary 15 kW, Winde distillery of 5 kW",0.015,0.000003,,,,,
