"process","resource","type","trl","trl.reference","trl.notes","scale","scale.ref","scale.notes","capacity.max","capacity.min","capacity.other.i","capacity.other.ii","capacity.other.iii","capacity.other.iv","capacity.other.v"
"solar-hydrogen_water-electrolysis.yaml","hydrogen","prod","ml","http://pubs.rsc.org/en/content/articlepdf/2014/ee/c4ee01453g","Research to encourage commercially viable solar electrolysis hydrogen production","TODO","https://books.google.com/books?id=p53AAgAAQBAJ&pg=PA355&lpg=PA355&dq=biohydrogen+production+plant+capacity&source=bl&ots=tT2iWdMkvx&sig=Z8dyxvstdEDckfl3dveczmwGOkk&hl=en&sa=X&ved=0CFAQ6AEwBmoVChMItcbHoOSjxwIVaSPbCh1FmgQo#v=onepage&q=biohydrogen%20production%20plant%20capacity&f=false, http://www.amazon.co.uk/Post-Oil-Energy-Technology-Solar-Hydrogen-Demonstration/dp/1420070258","Assume a plant of 3600 GJ/day, after commercialisation, A book describes a 1000 MW plant",41,"NA","***",,,,
"surfaceWater-treamtent-potable.yaml","waterPotable","prod","c",,,"TODO","http://www.algor.com/news_pub/cust_app/jardine/jardine.asp, http://www.dagua.com/small-medium-flow-rates.php","Largest plant is 4 million m3 per day, Small plants: 640 m3/day ",46296.3,7.41,,,,,
"thermochemical_cornStover_ethanol.yaml","ethanol","prod","DONE",,,"TODO","DONE","DONE","DONE","NA",,,,,
"thermochemical_wastePaper_ethanol.yaml","ethanol","prod","DONE",,,"TODO","DONE","DONE","DONE","NA",,,,,
"thermochemical_wheatStraw_ethanol.yaml","ethanol","prod","DONE",,,"TODO","DONE","DONE","DONE","NA",,,,,
"thermochemical_woodChips_ethanol.yaml","ethanol","prod","DONE",,,"TODO","DONE","DONE","DONE","NA",,,,,
"wasatewaterEffluent_wetlands.yaml","waterNonPotable","prod","c","http://www.sciencedirect.com/science/article/pii/S1364032112003541","Current examples","TODO","http://water.epa.gov/infrastructure/septic/upload/wetlands-subsurface_flow.pdf","U.S. systems: larget less than 3.8e3 m3/day; smaller systems from few hundered gallons per day to 40000 gallons per day",43.9,1.75,,,,,
"wastewater-algaeCultivation-manurePhotobioreactor.yaml","algae","prod","ml","http://pubs.acs.org/doi/pdf/10.1021/es5027689","Not yet commercial","TODO","http://pubs.acs.org/doi/abs/10.1021/ie901459u","125 L (optimum size)",0.00000295,"NA",,,,,
"wastewater-algaeCultivation-municipalWasteWater.yaml","algae","prod","ml","http://pubs.acs.org/doi/pdf/10.1021/es5027689",,"TODO","http://pubs.acs.org/doi/abs/10.1021/ie901459u","125 L (optimum size, assume within tubular reactors)",0.00000295,"NA",,,,,
"wastewater-algaeCultivation-openPond.yaml","algae","prod","ml","http://pubs.acs.org/doi/pdf/10.1021/es5027689",,"TODO","http://www.sciencedirect.com/science/article/pii/S0960852409012449, Assume as above, for a production pond","100000 kg biomass production per year, 0.35 g/L/day=4.05e-12 kg/L/s, assume range of 1e3 to 1e9 litres",0.00405,4.05E-009,,,,,
"wastewater-anaerobicMembraneBioreactor.yaml","wastewater","waste","ml","http://www.sciencedirect.com/science/article/pii/S1385894712006420","Òthere is no description of real industrial applications in the literature and almost no pilot cases have been describedÓ","TODO","https://en.wikipedia.org/wiki/Membrane_bioreactor, http://www.sciencedirect.com/science/book/9781856174817","Up to 48 million litres per day. Assume that when commercialised, the process will scale up to the size of other similar processes",555.56,0.0116,,,,,
"wastewater-biogas-elec-hydrogen_biogas-elec.yaml","elec","prod","c","http://www.sciencedirect.com/science/article/pii/S0360319910025103","Òactual data from a factoryÓ","TODO",,"1206 kW",1.206,"NA","Small by definition",,,,
"wastewater-biogas-elec-hydrogen_biogas-heat.yaml","heat","prod","CHECK HEAT VALUE","http://www.sciencedirect.com/science/article/pii/S0000000000000001","Òactual data from a factoryÓ","TODO","NUMBERS DON'T MAKE SENSE","NUMBERS DON'T MAKE SENSE","NUMBERS-DONT-MAKE-SENSE","NA","Small by definition",,,,
"wastewater-biogas-elec-hydrogen_HTE.yaml","hydrogen","prod","c","http://www.sciencedirect.com/science/article/pii/S0000000000000002","Òactual data from a factoryÓ","TODO",,"25.78 kW to 192.47 kW",0.00000136,0.000000182,"Small by definition",,,,
"wastewater-biogas-elec-hydrogen_KOH.yaml","hydrogen","prod","c","http://www.sciencedirect.com/science/article/pii/S0000000000000003","Òactual data from a factoryÓ","TODO",,"32.93 to 267.35 kW",0.00000188,0.000000232,"Small by definition",,,,
"wastewater-biogas-elec-hydrogen_PEM.yaml","hydrogen","prod","c","http://www.sciencedirect.com/science/article/pii/S0000000000000004","Òactual data from a factoryÓ","TODO",,"38.9 to 285 kW",0.000002007,0.000000274,"Small by definition",,,,
"wastewater-biogas-elec-hydrogen_wastewater-biogas.yaml","wastewater","waste","c","http://www.sciencedirect.com/science/article/pii/S0000000000000005","Òactual data from a factoryÓ","TODO",,"11.6 kg/s biogas",11.6,0.0116,,,,,
"wastewaterEffluent_lvingMachine.yaml","waterNonPotable","prod","c","http://www.livingmachines.com/Portfolio/Municipal-Government/San-Francisco-Public-Utilities-Commission,-San-Fra.aspx, http://www.livingmachines.com/Portfolio/Schools-Universities/Guilford-County-Schools,-Greensboro,-NC.aspx","E.g. San Francisco municipal machine which 750000+900000 gallons per year. An example in a school saves over 2 million gallons per year","TODO","http://www.livingmachines.com/Portfolio/Municipal-Government/San-Francisco-Public-Utilities-Commission,-San-Fra.aspx, http://www.livingmachines.com/Portfolio/Schools-Universities/Guilford-County-Schools,-Greensboro,-NC.aspx","E.g. San Francisco municipal machine which 750000+900000 gallons per year. An example in a school saves over 2 million gallons per year",0.198,"NA","*** Assume 10%?, wastewater from 350 people for Finhorn: https://en.wikipedia.org/wiki/Findhorn_Ecovillage#Living_Machine",,,,
"wastewaterEffluent-reuse_Singapore.yaml","waterPotable","prod","c",,,"TODO","http://spectrum.ieee.org/energy/environment/singapores-water-cycle-wizardry",,"CHECK-REFERENCE","NA",,,,,
"wastewater-reuse-irrigation.yaml","wastewater","waste","c",,,"TODO","http://www.water-technology.net/projects/as-samra-wastewater-treatment-plant-jordan/","Plant can deal with a peak flow of 840000 m3 per day, smaller scale from 1m3/day (http://tjguo.weebly.com/uploads/2/6/2/1/26216079/wst_em13819r1.pdf)",9722.2,0.0116,,,,,
"wastewater-reuse-potable.yaml","wastewater","waste","c",,,"TODO",,"NEWater produces 40 ML per day of potable water",462.96,0.0116,,,,,
"wastewater-reuse-residential.yaml","wastewater","waste","c",,,"TODO","http://www.infrastructurene.ws/2015/06/10/asias-largest-water-reuse-plant-gets-an-equipment-upgrade/","Plant treating 600000 m3/day for non potable uses",6944.4,0.0116,,,,,
"wetland-effluent-irrigation.yaml","waterIrrigation","prod","c",,,"TODO","http://water.epa.gov/infrastructure/septic/upload/wetlands-subsurface_flow.pdf","U.S. systems: larget less than 3.8e3 m3/day; smaller systems from few hundered gallons per day to 40000 gallons per day",43.9,1.75,,,,,
"wetland-effluent-reuse.yaml","waterNonPotable","prod","c",,,"TODO","http://water.epa.gov/infrastructure/septic/upload/wetlands-subsurface_flow.pdf","U.S. systems: larget less than 3.8e3 m3/day; smaller systems from few hundered gallons per day to 40000 gallons per day",43.9,1.75,,,,,
"WtE-MSW_cogen.yaml","elec","prod","c",,,"TODO","https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/221036/pb13889-incineration-municipal-waste.pdf","Range of UK plants: 7.6 Mwe to 86 Mwe",86,7.6,,,,,
"WtE-MSW_elec.yaml","elec","prod","c",,,"TODO","https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/221036/pb13889-incineration-municipal-waste.pdf","Range of UK plants: 7.6 Mwe to 86 Mwe",86,7.6,,,,,
"WtE.yaml","elec","prod","c",,,"TODO","https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/221036/pb13889-incineration-municipal-waste.pdf","Range of UK plants: 7.6 Mwe to 86 Mwe",86,7.6,,,,,
