process.name,capacity,scale.ref,scale.notes,trl,trl.reference,trl.notes
solar-CSP-dryCooling-0.25,0.25,,"50 MW, small-scale (https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/191058/small_scale_concentrated_solar_power_carbon_trust.pdf)",c,http://www.sciencedirect.com/science/article/pii/S1364032113000634,"Current technologies available"
solar-CSP-0.25,0.25,http://solarlove.org/largest-solar-power-plants-world/,"Largest plants rane from 97-550 MW (https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/191058/small_scale_concentrated_solar_power_carbon_trust.pdf)",c,http://www.sciencedirect.com/science/article/pii/S1364032113000634,"Current technologies available"
surfaceWater_treatment-potable-7.41,7.41,"http://www.algor.com/news_pub/cust_app/jardine/jardine.asp, http://www.dagua.com/small-medium-flow-rates.php","Largest plant is 4 million m3 per day, Small plants: 640 m3/day",c,,
wasteWaterEffluent_wetlands-1.75,1.75,http://water.epa.gov/infrastructure/septic/upload/wetlands-subsurface_flow.pdf,"U.S. systems: larget less than 3.8e3 m3/day; smaller systems from few hundered gallons per day to 40000 gallons per day",c,http://www.sciencedirect.com/science/article/pii/S1364032112003541,"Current examples"
wastewater-algaeCultivation-openPond-4.05e-09,4.05E-09,"http://www.sciencedirect.com/science/article/pii/S0960852409012449, Assume as above, for a production pond","100000 kg biomass production per year, 0.35 g/L/day=4.05e-12 kg/L/s, assume range of 1e3 to 1e9 litres",ml,http://pubs.acs.org/doi/pdf/10.1021/es5027689,
wastewater_anaerobicMembraneBioreactor-0.0116,0.0116,"https://en.wikipedia.org/wiki/Membrane_bioreactor, http://www.sciencedirect.com/science/book/9781856174817","Up to 48 million litres per day. Assume that when commercialised, the process will scale up to the size of other similar processes",ml,http://www.sciencedirect.com/science/article/pii/S1385894712006420,"Òthere is no description of real industrial applications in the literature and almost no pilot cases have been describedÓ"
wastewater-biogas-elec-hydrogen_elec-hydrogen_HTE-1.82e-07,1.82E-07,,"25.78 kW to 192.47 kW",c,http://www.sciencedirect.com/science/article/pii/S0000000000000002,"Òactual data from a factoryÓ"
wastewater-biogas-elec-hydrogen_elec-hydrogen_KOH-2.32e-07,2.32E-07,,"32.93 to 267.35 kW",c,http://www.sciencedirect.com/science/article/pii/S0000000000000003,"Òactual data from a factoryÓ"
wastewater-biogas-elec-hydrogen_elec-hydrogen_PEM-2.74e-07,2.74E-07,,"38.9 to 285 kW",c,http://www.sciencedirect.com/science/article/pii/S0000000000000004,"Òactual data from a factoryÓ"
wastewater-biogas-elec-hydrogen_wastewater-biogas-0.0116,0.0116,,"11.6 kg/s biogas",c,http://www.sciencedirect.com/science/article/pii/S0000000000000005,"Òactual data from a factoryÓ"
wastewater-reuse-irrigation-0.0116,0.0116,http://www.water-technology.net/projects/as-samra-wastewater-treatment-plant-jordan/,"Plant can deal with a peak flow of 840000 m3 per day, smaller scale from 1m3/day (http://tjguo.weebly.com/uploads/2/6/2/1/26216079/wst_em13819r1.pdf)",c,,
wastewater-reuse-potable-0.0116,0.0116,,"NEWater produces 40 ML per day of potable water",c,,
wastewater-reuse-residential-0.0116,0.0116,http://www.infrastructurene.ws/2015/06/10/asias-largest-water-reuse-plant-gets-an-equipment-upgrade/,"Plant treating 600000 m3/day for non potable uses",c,,
constructed-wetland-1.75,1.75,http://water.epa.gov/infrastructure/septic/upload/wetlands-subsurface_flow.pdf,"U.S. systems: larget less than 3.8e3 m3/day; smaller systems from few hundered gallons per day to 40000 gallons per day",c,,
WtE-MSW_cogen-7.6,7.6,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/221036/pb13889-incineration-municipal-waste.pdf,"Range of UK plants: 7.6 Mwe to 86 Mwe",c,,
WtE-MSW_elec-7.6,7.6,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/221036/pb13889-incineration-municipal-waste.pdf,"Range of UK plants: 7.6 Mwe to 86 Mwe",c,,
WtE-7.6,7.6,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/221036/pb13889-incineration-municipal-waste.pdf,"Range of UK plants: 7.6 Mwe to 86 Mwe",c,,
