process.name,capacity,scale.ref,scale.notes,trl,trl.reference,trl.notes
distributed-wind-0.001,0.001,,"1 kW Ð 6 kW for home use, 5 MW for conventional units",c,http://ac.els-cdn.com/S1364032109002561/1-s2.0-S1364032109002561-main.pdf?_tid=b2eba922-e99d-11e4-9261-00000aab0f26&acdnat=1429782604_d1f12ba07b3a6f97548260fa2b72c9c7,
fuelCell_ethanol-3e-06,3E-06,http://www.sciencedirect.com/science/article/pii/S030626191500094X,"3-250 W (portable), Amercian ammunition plant testing 10 kW prototype, stationary 15 kW, Winde distillery of 5 kW",ml,http://www.sciencedirect.com/science/article/pii/S030626191500094X,"Very early stage of development. A few prototypes."
fuelCell_leachate-3e-06,3E-06,"Assume as for fuelCell_ethanol, http://www.sciencedirect.com/science/article/pii/S030626191500094X","3-250 W (portable), Amercian ammunition plant testing 10 kW prototype, stationary 15 kW, Winde distillery of 5 kW",ml,http://download.springer.com/static/pdf/788/art%253A10.1007%252Fs12010-014-0854-x.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs12010-014-0854-x&token2=exp=1438078456~acl=%2Fstatic%2Fpdf%2F788%2Fart%25253A10.1007%25252Fs12010-014-0854-x.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs12010-014-0854-x*~hmac=c831ca71d3351e434743b5d5cb15ff6605d8d1e564b0cb076bd7ceaf4194f44e,"Still in R&D stage, with questions about scaling-up."
fuelCell_sludge_energy-3e-06,3E-06,"Assume as for fuelCell_ethanol, http://www.sciencedirect.com/science/article/pii/S030626191500094X","3-250 W (portable), Amercian ammunition plant testing 10 kW prototype, stationary 15 kW, Winde distillery of 5 kW",ml,http://www.mmsd.com/-/media/MMSD/Documents/Water%20Quality/Reports/Using_Microbial_Fuel_Cells_513.pdf,"Technology needs testing Òat a transitional scale of 200-500 L, which will act as a bridge between fundamental research and future developmentÓ."
gasification-biomass-methanol-backPressure-0.52,0.52,http://www.sciencedirect.com/science/article/pii/S0360544212005397,"Biomass inputs between 20-1350 MW",m,"http://ac.els-cdn.com/S136403211300614X/1-s2.0-S136403211300614X-main.pdf?_tid=a7b4bb14-3512-11e5-90f6-00000aab0f26&acdnat=1438079174_957ae7400820bbc7accfea07bccbbd81, https://www.ashden.org/biomass-gasification","Barriers to gasification, but small-scale systems in India and China"
gasification-biomass-methanol-condensingTurbine-heatPump-twoSteamLevels-0.52,0.52,http://www.sciencedirect.com/science/article/pii/S0360544212005397,"Biomass inputs between 20-1350 MW",m,"http://ac.els-cdn.com/S136403211300614X/1-s2.0-S136403211300614X-main.pdf?_tid=a7b4bb14-3512-11e5-90f6-00000aab0f26&acdnat=1438079174_957ae7400820bbc7accfea07bccbbd81, https://www.ashden.org/biomass-gasification","Barriers to gasification, but small-scale systems in India and China"
gasification-biomass-methanol-condensingTurbine-noDrying-adjusted-0.447,0.447,http://www.sciencedirect.com/science/article/pii/S0360544212005397,"Biomass inputs between 20-1350 MW",m,"http://ac.els-cdn.com/S136403211300614X/1-s2.0-S136403211300614X-main.pdf?_tid=a7b4bb14-3512-11e5-90f6-00000aab0f26&acdnat=1438079174_957ae7400820bbc7accfea07bccbbd81, https://www.ashden.org/biomass-gasification","Barriers to gasification, but small-scale systems in India and China"
gasification-biomass-methanol-condensingTurbine-noDrying-0.447,0.447,http://www.sciencedirect.com/science/article/pii/S0360544212005397,"Biomass inputs between 20-1350 MW",m,"http://ac.els-cdn.com/S136403211300614X/1-s2.0-S136403211300614X-main.pdf?_tid=a7b4bb14-3512-11e5-90f6-00000aab0f26&acdnat=1438079174_957ae7400820bbc7accfea07bccbbd81, https://www.ashden.org/biomass-gasification","Barriers to gasification, but small-scale systems in India and China"
gasification-coal_elec-400,400,http://www.sciencedirect.com/science/article/pii/S0360319911028667,"Simulated investigation",m,http://www.sciencedirect.com/science/article/pii/S0360319911028667,"400-500 MW"
gasification-coal-MSW_elec-400,400,http://www.sciencedirect.com/science/article/pii/S0000000000000001,"Simulated investigation",m,http://www.sciencedirect.com/science/article/pii/S0000000000000001,"400-500 MW"
gasification-coal-sludge_elec-400,400,http://www.sciencedirect.com/science/article/pii/S0000000000000002,"Simulated investigation",m,http://www.sciencedirect.com/science/article/pii/S0000000000000002,"400-500 MW"
gasification-coal-syngas-400,400,http://www.sciencedirect.com/science/article/pii/S0360544212002162,"Investigating the gasifiers not yet commercially available, which can be used in conjunction with CCS",m,http://www.sciencedirect.com/science/article/pii/S0360544212002162,"400-450 MW of net electricity"
gasification-MSW-elec-50,50,http://www.sciencedirect.com/science/article/pii/S0956053X11004788,"Investigating commercial plants (lots in Japan)",c,http://www.sciencedirect.com/science/article/pii/S0956053X11004788,"50 MW, 80 MW (Plant A and Plant B)"
gasification_sludge_hydrogen-0.62,0.62,http://www.netl.doe.gov/research/coal/energy-systems/gasification/gasifipedia/westinghouse,"Some existing plants (i.e. Japan)",c,http://www.netl.doe.gov/research/coal/energy-systems/gasification/gasifipedia/westinghouse,"Tons per day of MSW in existing plants: 24, 170, 300"
gasification_sludge-0.62,0.62,http://ac.els-cdn.com/S0196890408000502/1-s2.0-S0196890408000502-main.pdf?_tid=9d99a024-e745-11e4-b8a4-00000aacb35d&acdnat=1429524871_4bf9a9d88fede665c8aa127a7c1245da,"Case study on Athens WWTP",c,http://ac.els-cdn.com/S0196890408000502/1-s2.0-S0196890408000502-main.pdf?_tid=9d99a024-e745-11e4-b8a4-00000aacb35d&acdnat=1429524871_4bf9a9d88fede665c8aa127a7c1245da,"2.85 MW power production (250 ton/day of sewage), assume minimum value is that for gasification-sewateSludge_hydrogen.yaml"
gasification-syngas-elec-400,400,http://ac.els-cdn.com/S0360544212002162/1-s2.0-S0360544212002162-main.pdf?_tid=463512d4-d181-11e4-8621-00000aacb362&acdnat=1427131568_5073a443c24f9418e62c68dc26901d99,,m,http://ac.els-cdn.com/S0360544212002162/1-s2.0-S0360544212002162-main.pdf?_tid=463512d4-d181-11e4-8621-00000aacb362&acdnat=1427131568_5073a443c24f9418e62c68dc26901d99,"400-450 MW of net electricity"
gasification-waste-high-temp_steam-0.04,0.04,https://www.netl.doe.gov/File%20Library/Research/Coal/energy%20systems/gasification/gasifipedia/5-ASADAL_BOARD_bbs02.pdf,"List of commercial plants",c,,"12.02 MW, small-scale 40 kW (file:///home/tr608/Downloads/JDW2E_NSRDEC_Backup-StateOfTheArt_v20130909.pdf)"
gasification-waste-high-temp-0.04,0.04,https://www.netl.doe.gov/File%20Library/Research/Coal/energy%20systems/gasification/gasifipedia/5-ASADAL_BOARD_bbs02.pdf,"List of commercial plants",c,,"8.62 MW"
gasification-waste-plama-ICE-steam-CC-7.92,7.92,https://www.netl.doe.gov/File%20Library/Research/Coal/energy%20systems/gasification/gasifipedia/5-ASADAL_BOARD_bbs02.pdf,"List of commercial plants",c,,"10.13 MW, smaller-scale calculated from 150 tpd (http://www.nytimes.com/2012/09/11/science/plasma-gasification-raises-hopes-of-clean-energy-from-garbage.html)"
heatPump-ASHP-highEff-radOrDHW-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-ASHP-highEff-screedFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-ASHP-highEff-timberFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-ASHP-screedFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-ASHP-twoStage-screedFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-ASHP-twoStage-timberFloor-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
heatPump-groundCoupled-heating-0.005,0.005,"http://www.districtenergy.org/blog/2013/07/08/norway-starts-world%E2%80%99s-largest-heat-pump-district-heating-plant/, http://www.acdirect.com/knowledge-base/heat-pump/info-sizing-heat-pumps-supplemental-heating","Largest heat pump plant (Norway) provides 13 MW for a district heating network, Typically domestic units are between 5-20 kW (depending on the climate)",c,,
