biochemical_wheatStraw_ethanol,water,kg,-2.655057,20.299,c
biochemical_wheatStraw_ethanol,CO2,kg,1.319893,20.299,c
biochemical_wheatStraw_ethanol,ethanol,kg,0.2664335,20.299,c
biochemical_wheatStraw_ethanol,elec,MJ,1,20.299,c
biochemical_wheatStraw_ethanol,waste,kg,0.09316277,20.299,c
biochemical_woodChips_ethanol,biomass,kg,-2.36895,19.543,c
biochemical_woodChips_ethanol,water,kg,-1.807496,19.543,c
biochemical_woodChips_ethanol,CO2,kg,1.586629,19.543,c
biochemical_woodChips_ethanol,ethanol,kg,0.3224513,19.543,c
biochemical_woodChips_ethanol,elec,MJ,1,19.543,c
biochemical_woodChips_ethanol,waste,kg,0.07878638,19.543,c
biodiesel_boiler,biodiesel,kg,-0.03443333,0.512,c
biodiesel_boiler,heat,MJ,1,0.512,c
biodiesel-CHP,biodiesel,MJ,-1.769231,CHECK-REFERENCE,c
biodiesel-CHP,elec,MJ,1,CHECK-REFERENCE,c
biodiesel-CHP,heat,MJ,1.169231,CHECK-REFERENCE,c
biodiesel-CHP,CO2,kg,0.05116923,CHECK-REFERENCE,c
biodiesel-cookingOil,oilUsed,kg,-1.054545,0.12,c
biodiesel-cookingOil,elec,MJ,-0.05318182,0.12,c
biodiesel-cookingOil,methanol,kg,-0.0967375,0.12,c
biodiesel-cookingOil,biodiesel,kg,1,0.12,c
biodiesel-cookingOil,water,kg,0.01136364,0.12,c
biogas-MSW-agri,biomassAgriWaste,kg,-1,4.439,c
biogas-MSW-agri,heat,MJ,-0.288,4.439,c
biogas-MSW-agri,elec,MJ,-0.144,4.439,c
biogas-MSW-agri,methane,kg,0.29,4.439,c
biogas-MSW-agri,CO2,kg,0.4356,4.439,c
biogas-MSW-agri,digestate,kg,0.3,4.439,c
biogas-CHP,biogas,kg,-0.0003123362,300,c
biogas-CHP,elec,MJ,1,300,c
biogas-CHP,heat,MJ,1.032583,300,c
biogas-CHP,CO2,kg,0,300,c
biogas-MSW-food,foodWaste,kg,6.923098,4.439,c
biogas-MSW-food,methane,kg,-1.453851,4.439,c
biogas-MSW-food,heat,MJ,1.993852,4.439,c
biogas-MSW-food,elec,MJ,1,4.439,c
biogas-MSW-food,CO2,kg,-2.250007,4.439,c
biogas-MSW-food,digestate,kg,-2.076929,4.439,c
biogas-MSW-sewage-combo,MSW,kg,-1,4.439,c
biogas-MSW-sewage-combo,wastewater,kg,-1,4.439,c
biogas-MSW-sewage-combo,methane,kg,0.09524138,4.439,c
biogas-MSW-sewage-combo,heat,MJ,-0.576,4.439,c
biogas-MSW-sewage-combo,elec,MJ,-0.288,4.439,c
biogas-MSW-sewage-combo,CO2,kg,0.1453103,4.439,c
biogas-MSW-sewage-combo,digestate,kg,0.6,4.439,c
biogas-MSW,MSW,kg,-1,4.439,c
biogas-MSW,methane,kg,0.222,4.439,c
biogas-MSW,heat,MJ,-0.288,4.439,c
biogas-MSW,elec,MJ,-0.144,4.439,c
biogas-MSW,CO2,kg,0.339,4.439,c
biogas-MSW,digestate,kg,0.3,4.439,c
biogas-municipalFoodWaste-greenWaste-CNG-heat-elec,elec,MJ,0,4.439,m
biogas-municipalFoodWaste-greenWaste-CNG-heat-elec,heat,MJ,0.07826087,4.439,m
biogas-municipalFoodWaste-greenWaste-CNG-heat-elec,biogas,kg,0.0001289565,4.439,m
biogas-municipalFoodWaste-greenWaste-CNG-heat-elec,CNG,kg,0.1509565,4.439,m
biogas-municipalFoodWaste-greenWaste-CNG-heat-elec,MSW,kg,-1,4.439,m
biogas-municipalFoodWaste-greenWaste-CNG-heat-elec,digestate,kg,0.3,4.439,m
biogas-municipalFoodWaste-greenWaste-CNG-heat,elec,MJ,-0.2191304,4.439,m
biogas-municipalFoodWaste-greenWaste-CNG-heat,heat,MJ,0,4.439,m
